Japanese word,Translation, Transcription
先生, учитель, Sensei
教室, классная комната, Kyoushitsu
教科書, учебник, Kyoukasho
勉強, учёба, Benkyou
質問, вопрос, Shitsumon
答え, ответ, Kotae
答える, отвечать, Kotaeru
会話, разговор, Kaiwa
会議, собрание, Kaigi
報告, отчёт, Houkoku
計画, план, Keikaku
仕事, работа, Shigoto
職業, профессия, Shokugyou
従業員, сотрудник, Juugyouin
経済, экономика, Keizai
政治, политика, Seiji
歴史, история, Rekishi
文化, культура, Bunka
音楽, музыка, Ongaku
映画, фильм, Eiga
スポーツ, спорт, Supootsu
旅行, путешествие, Ryokou
観光, туризм, Kankou
ホテル, отель, Hoteru
予約, бронирование, Yoyaku
空席, свободное место, Kuuseki
チケット, билет, Chiketto
旅行先, место назначения, Ryokousaki
荷物, багаж, Nimotsu
案内, информация, Annai
地図, карта, Chizu
レストラン, ресторан, Resutoran
メニュー, меню, Menyuu
注文, заказ, Chuumon
味, вкус, Aji
食事, еда, Shokuji
料理, блюдо, Ryouri
食べ放題, шведский стол, Tabehoudai
飲み放題, неограниченное питье, Nomihoudai
支払い, оплата, Shiharai
割引, скидка, Waribiki
現金, наличные, Genkin
クレジットカード, кредитная карта, Kurejitto kaado
運転, вождение, Unten
交通, транспорт, Koutsuu
道, дорога, Michi
通り, улица, Toori
交差点, перекрёсток, Kousaten
信号, светофор, Shingou
横断歩道, пешеходный переход, Oudanhodou
駐車場, парковка, Chuushajou
渋滞, пробка, Juutai
タクシー, такси, Takushii
自転車, велосипед, Jitensha
バイク, мотоцикл, Baiku
車, автомобиль, Kuruma
バス, автобус, Basu
電車, поезд, Densha
地下鉄, метро, Chikatetsu
飛行機, самолёт, Hikouki
船, корабль, Fune
駅前, перед станцией, Eki-mae
空港, аэропорт, Kuukou
降りる, выходить, Oriru
乗る, садиться (в транспорт), Noru
飛ぶ, лететь, Tobu
進む, двигаться, Susumu
遅れる, опаздывать, Okureru
急ぐ, торопиться, Isogu
疲れる, устать, Tsukareru
休む, отдыхать, Yasumu
眠い, сонный, Nemui
目, глаз, Me
耳, ухо, Mimi
口, рот, Kuchi
手, рука, Te
足, нога, Ashi
背中, спина, Senaka
頭, голова, Atama
心, сердце, Kokoro
顔, лицо, Kao
髪, волосы, Kami
体, тело, Karada
足りる, быть достаточным, Tariru
痛い, больной, Itai
元気, здоровый, Genki
健康, здоровье, Kenkou
病気, болезнь, Byouki
熱, жар, Netsu
風邪, простуда, Kaze
咳, кашель, Seki
頭痛, головная боль, Zutsuu
腹痛, боль в животе, Fukutsuu
怪我, травма, Kega
医者, врач, Isha
薬, лекарство, Kusuri
治す, лечить, Naosu
予防, профилактика, Yobou
手術, операция, Shujutsu
検査, анализ, Kensa
注射, укол, Chuusha
妊娠, беременность, Ninshin
出産, роды, Shussan
子供, ребёнок, Kodomo
大人, взрослый, Otona
親, родитель, Oya
兄, старший брат, Ani
姉, старшая сестра, Ane
弟, младший брат, Otouto
妹, младшая сестра, Imouto
夫, муж, Otto
妻, жена, Tsuma
友達, друг, Tomodachi
親友, лучший друг, Shin'yuu
彼氏, парень, Kareshi
彼女, девушка, Kanojo
結婚, брак, Kekkon
離婚, развод, Rikon
婚約, помолвка, Konyaku
誕生日, день рождения, Tanjoubi
お祝い, праздник, Oiwai
お正月, Новый год, Oshougatsu
クリスマス, Рождество, Kurisumasu
バレンタイン, День Святого Валентина, Barentain
花火, фейерверки, Hanabi
祭り, праздник, Matsuri
旅行, путешествие, Ryokou
イベント, мероприятие, Ibento
参加, участие, Sanka
観光, осмотр достопримечательностей, Kankou
休暇, отпуск, Kyuuka
仕事, работа, Shigoto
会社, компания, Kaisha
店, магазин, Mise
役所, муниципалитет, Yakusho
政府, правительство, Seifu
仕事, профессия, Shigoto
労働, труд, Roudou
給料, зарплата, Kyuuryou
契約, контракт, Keiyaku
評価, оценка, Hyouka
通知, уведомление, Tsuuchi
宣伝, реклама, Senden
連絡, контакт, Renraku
予約, бронирование, Yoyaku
請求, счёт, Seikyu
伝票, чек, Denpyou
返品, возврат, Henpin
支払い, оплата, Shiharai
支払い方法, способ оплаты, Shiharai houhou
銀行, банк, Ginkou
キャッシュ, наличные, Kyasshu
カード, карта, Kaado
契約, контракт, Keiyaku
ビジネス, бизнес, Bijinesu
マネージメント, управление, Manejimento
経済, экономика, Keizai
貿易, торговля, Boueki
投資, инвестиции, Toushi
利益, прибыль, Rieki
損失, убыток, Sonshitsu
市場, рынок, Ichiba
価格, цена, Kakaku
費用, расходы, Hiyou
収入, доход, Shuunyuu
支出, расходы, Shishutsu
税金, налоги, Zeikin
財産, имущество, Zaisan
給与, зарплата, Kyuuyou
労働, труд, Roudou
仕事, работа, Shigoto
雇用, занятость, Koyou
解雇, увольнение, Kaiko
労働者, рабочий, Roudousha
企業, предприятие, Kigyou
商品, товар, Shouhin
サービス, услуга, Saabisu
市場調査, исследование рынка, Ichiba chousa
売上, продажи, Uriage
取引, сделка, Torihiki
契約, контракт, Keiyaku
予約, бронирование, Yoyaku
顧客, клиент, Kokyaku
市場, рынок, Ichiba
販売, продажа, Hanbai
商品, продукт, Shouhin
宣伝, реклама, Senden
広告, объявление, Koukoku
ブランディング, брендинг, Burandingu
マネジメント, управление, Manejimento
戦略, стратегия, Senryaku
広告, реклама, Koukoku
経営, управление, Keiei
成長, рост, Seichou
革新, инновация, Kakushin
市場分析, анализ рынка, Ichiba bunseki
競争, конкуренция, Kyousou
商談, переговоры, Shoudan
顧客, клиент, Kokyaku
商品開発, разработка товара, Shouhin kaihatsu
販促, продвижение, Hansoku
人材, персонал, Jinzai
成果, результат, Seika
生産, производство, Seisan
製造, изготовление, Seizou
工場, фабрика, Koujou
品質, качество, Hinshitsu
設計, проектирование, Sekkei
生産性, производительность, Seisansei
効率, эффективность, Kouritsu
納期, срок поставки, Nouki
納品, доставка, Nouhin
発注, заказ, Hacchu
仕入れ, закупка, Shiire
物流, логистика, Butsuryuu
輸送, транспортировка, Yusou
倉庫, склад, Souko
在庫, запасы, Zaiko
返品, возврат, Henpin
配送, доставка, Haisou
支払い, оплата, Shiharai
支払い方法, способ оплаты, Shiharai houhou
銀行, банк, Ginkou
支店, филиал, Shiten
口座, счёт, Kouza
預金, депозит, Yokin
引き出し, снятие денег, Hikidashi
振込, перевод, Furikomi
引落し, автоматическое снятие, Hikiotoshi
クレジットカード, кредитная карта, Kurejitto kaado
銀行カード, банковская карта, Ginkou kaado
ATM, банкомат, ATM
小切手, чек, Kogitte
電子マネー, электронные деньги, Denshi manee
キャッシュ, наличные, Kyasshu
現金, наличные, Genkin
払戻し, возврат денег, Haraimodoshi
支払い, платёж, Shiharai
購入, покупка, Kounyuu
売却, продажа, Baikyaku
取引, сделка, Torihiki
借金, долг, Shakkin
借りる, брать в долг, Kariru
貸す, давать в долг, Kasu
利息, проценты, Risoku
ローン, кредит, Roon
投資, инвестиции, Toushi
株, акции, Kabu
債券, облигации, Saiken
投資信託, паевой инвестиционный фонд, Toushi shintaku
不動産, недвижимость, Fudousan
地価, стоимость земли, Chika
住宅, жильё, Juutaku
土地, земля, Tochi
アパート, квартира, Apato
マンション, многоквартирный дом, Manshon
家, дом, Ie
部屋, комната, Heya
住居, жильё, Juukyo
引越し, переезд, Hikkoshi
住民, жители, Juumin
近所, соседство, Kinjo
町, город, Machi
村, деревня, Mura
都市, город, Toshi
郊外, пригороды, Kougai
海外, заграница, Kaigai
国内, внутри страны, Kokunai
旅行, путешествие, Ryokou
観光, туризм, Kankou
観光地, туристическое место, Kankouchi
ホテル, отель, Hoteru
民宿, пансион, Minshuku
旅館, традиционный японский отель, Ryokan
レストラン, ресторан, Resutoran
カフェ, кафе, Kafe
居酒屋, изакая, Izakaya
ファーストフード, фастфуд, Fasutofudo
食堂, столовая, Shokudou
食事, еда, Shokuji
食べ物, еда, Tabemono
飲み物, напитки, Nomimono
料理, блюдо, Ryouri
料理する, готовить, Ryouri suru
味, вкус, Aji
甘い, сладкий, Amai
辛い, острый, Karai
酸っぱい, кислый, Suppai
塩辛い, солёный, Shio karai
美味しい, вкусный, Oishii
不味い, невкусный, Mazui
食べる, есть, Taberu
飲む, пить, Nomu
食べ放題, шведский стол, Tabehoudai
飲み放題, неограниченное питьё, Nomihoudai
注文, заказ, Chuumon
料金, плата, Ryoukin
支払い, оплата, Shiharai
割引, скидка, Waribiki
サービス, услуга, Saabisu
返金, возврат денег, Henkin
返品, возврат, Henpin
クーポン, купон, Kupon
キャンペーン, кампания, Kyanpeen
割引券, скидочный купон, Waribikiken
セール, распродажа, Seeru
特売, специальная распродажа, Tokubai
在庫, запас, Zaiko
品切れ, отсутствие товара, Shinogire
注文書, заказ, Chuumonsho
配送, доставка, Haisou
運送, перевозка, Unsou
郵便, почта, Yuubin
配送先, адрес доставки, Haisou saki
宅配便, курьерская служба, Takuhai bin
クロネコ, почтовая компания (Neko), Kuroneko
追跡, отслеживание, Tsuiseki
発送, отправка, Hassou
納品, доставка товара, Nouhin
納期, срок поставки, Nouki
支払い方法, метод оплаты, Shiharai houhou
銀行振込, банковский перевод, Ginkou furikomi
カード払い, оплата картой, Kaado harai
現金払い, оплата наличными, Genkin harai
引き落とし, автоматическое снятие, Hikiotoshi
コンビニ, конбини, Konbini
ATM, банкомат, ATM
クレジットカード, кредитная карта, Kurejitto kaado
デビットカード, дебетовая карта, Debitto kaado
電子マネー, электронные деньги, Denshi manee
キャッシュレス, безналичный расчет, Kyasshuresu
電子財布, электронный кошелек, Denshi saifu
決済, расчёт, Kessai
振込, перевод, Furikomi
貸し出し, аренда, Kashidashi
再販, перепродажа, Saihan
送料, стоимость доставки, Souryou
支払明細, счет, Shiharai meisai
インターネット, интернет, Intaanetto
ウェブサイト, вебсайт, Uebusaito
オンライン, онлайн, Onrain
ネットショッピング, онлайн-шоппинг, Netto shoppingu
ショッピングモール, торговый центр, Shoppingu mooru
カート, корзина, Kaato
ウィッシュリスト, список желаемого, Uisshu risuto
購入履歴, история покупок, Kounyuu rireki
顧客情報, информация о клиенте, Kokyaku jouhou
アカウント, аккаунт, Akaunto
パスワード, пароль, Pasuwaado
ユーザー, пользователь, Yuuzaa
ログイン, вход, Roguin
ログアウト, выход, Rogauto
会員, член, Kaiin
メンバーシップ, членство, Menbaashippu
登録, регистрация, Touroku
認証, аутентификация, Ninshou
セキュリティ, безопасность, Sekyuriti
プライバシー, конфиденциальность, Puraibashii
アクセス, доступ, Akusesu
利用規約, условия использования, Riyou kiyaku
免責事項, отказ от ответственности, Menseki jikou
キャンセル, отмена, Kyanseru
返品ポリシー, политика возврата, Henpin porishii
サポート, поддержка, Sapooto
カスタマーサービス, клиентская служба, Kasutamaa saabisu
問い合わせ, запрос, Toiawase
FAQ, часто задаваемые вопросы, FAQ
チケット, билет, Chiketto
イベント, событие, Ibento
セミナー, семинар, Seminā
ワークショップ, мастер-класс, Waakushoppu
コンファレンス, конференция, Konfarensu
ミーティング, встреча, Miitingu
アジェンダ, повестка дня, Ajenda
講演, лекция, Kouen
パネルディスカッション, панельная дискуссия, Paneru disukasshon
ネットワーキング, нетворкинг, Nettowaakingu
プレゼンテーション, презентация, Purezentēshon
プロジェクト, проект, Purojekuto
進行中, в процессе, Shinkou-chuu
完了, завершение, Kanryou
タスク, задача, Tasuku
スケジュール, расписание, Sukedjūru
締め切り, срок, Shimekiri
納期, срок поставки, Nouki
締切, крайний срок, Shimekiri
予定, план, Yotei
日程, расписание, Nittei
日付, дата, Hizuke
時刻, время, Jikoku
時計, часы, Tokei
カレンダー, календарь, Karendā
リマインダー, напоминание, Rimaindā
進捗, прогресс, Shinchoku
評価, оценка, Hyouka
レビュー, отзыв, Rebyuu
フィードバック, обратная связь, Fīdobakku
改善, улучшение, Kaizen
成功, успех, Seikou
失敗, неудача, Shippai
問題, проблема, Mondai
解決, решение, Kaiketsu
分析, анализ, Bunseki
調査, исследование, Chousa
戦略, стратегия, Senryaku
目標, цель, Mokuhyou
成果, результат, Seika
実績, достижения, Jisseki
計画, план, Keikaku
展開, развертывание, Tenkai
進行, процесс, Shinkou
完了, завершение, Kanryou
成功する, добиваться успеха, Seikou suru
失敗する, терпеть неудачу, Shippai suru
挑戦, вызов, Chousen
努力, усилие, Doryoku
アイデア, идея, Aidea
イノベーション, инновация, Inobēshon
創造性, креативность, Souzousei
リーダーシップ, лидерство, Rīdāshippu
チームワーク, командная работа, Chīmuwāku
コミュニケーション, коммуникация, Komyunikeeshon
協力, сотрудничество, Kyouryoku
ネットワーク, сеть, Nettowāku
プラットフォーム, платформа, Purattofōmu
データ, данные, Dēta
システム, система, Shisutemu
アプリケーション, приложение, Apurikeeshon
ソフトウェア, программное обеспечение, Sofutowea
ハードウェア, аппаратное обеспечение, Haadowea
インフラ, инфраструктура, Infura
サーバー, сервер, Sābā
クラウド, облако, Kuraudo
ストレージ, хранилище, Sutōreji
セキュリティ, безопасность, Sekyuriti
バックアップ, резервное копирование, Bakkappu
メンテナンス, техническое обслуживание, Mentenansu
アップデート, обновление, Appudēto
インストール, установка, Insutōru
アンインストール, удаление, Aninsutōru
ログ, журнал, Rogu
トラブルシューティング, устранение неполадок, Toraburushūtingu
パッチ, патч, Patchi
バージョン, версия, Baajon
アップグレード, апгрейд, Appugureedo
ダウンロード, загрузка, Daunroodo
インターフェース, интерфейс, Intaafeesu
ユーザーインターフェース, пользовательский интерфейс, Yuuzaa intaafeesu
デバッグ, отладка, Debaggu
エラー, ошибка, Eraa
不具合, неисправность, Fuguai
復旧, восстановление, Fukkyuu
障害, сбой, Shougai
通信, связь, Tsushin
接続, подключение, Setsuzoku
ローカル, локальный, Ro-karu
グローバル, глобальный, Guroobaru
ネットワーク接続, сетевое соединение, Nettowaaku setsuzoku
プロトコル, протокол, Purotokoru
パケット, пакет, Pakketto
IPアドレス, IP-адрес, IP adoresu
サーバーエラー, ошибка сервера, Saabaa eraa
クライアント, клиент, Kuraiento
クライアントサーバー, клиент-сервер, Kuraiento saabaa
サービス, сервис, Saabisu
データベース, база данных, Deetabeesu
クエリ, запрос, Kuiri
トランザクション, транзакция, Toranzakushon
バックエンド, бэкенд, Bakkuendo
フロントエンド, фронтенд, Furontoendo
HTML, HTML, HTML
CSS, CSS, CSS
JavaScript, JavaScript, JavaScript
フレームワーク, фреймворк, Fureemuwāku
ライブラリ, библиотека, Raiburari
API, API, API
JSON, JSON, JSON
XML, XML, XML
REST, REST, REST
GraphQL, GraphQL, GraphQL
OAuth, OAuth, OAuth
認証, аутентификация, Ninshou
認可, авторизация, Ninka
セッション, сессия, Sesshon
トークン, токен, Tooken
キャッシュ, кэш, Kyasshu
クッキー, куки, Kukkii
リクエスト, запрос, Rikuesuto
レスポンス, ответ, Responzu
HTTP, HTTP, HTTP
HTTPS, HTTPS, HTTPS
SSL, SSL, SSL
TLS, TLS, TLS
URL, URL, URL
ドメイン, домен, Domein
ホスト, хост, Hosuto
ルーター, маршрутизатор, Ruutā
ファイアウォール, фаервол, Faiāwōru
VPN, VPN, VPN
プロキシ, прокси, Purokushi
パス, путь, Pasu
ディレクトリ, директория, Direkutori
ファイル, файл, Fairu
フォルダ, папка, Foruda
バックアップ, резервное копирование, Bakkappu
リストア, восстановление, Risutoo
同期, синхронизация, Douki
アップロード, загрузка, Appurōdo
ダウンロード, скачивание, Daunrōdo
ファイルシステム, файловая система, Fairu shisutemu
データ転送, передача данных, Dēta tensou
圧縮, сжатие, Asshuku
解凍, распаковка, Kaitou
暗号化, шифрование, Angouka
復号, расшифровка, Fukugou
バックアップ, бэкап, Bakkappu
ストレージ, хранилище, Sutooreji
ストリーミング, стриминг, Sutoriimingu
キャプチャ, захват, Kyapuchā
録画, запись, Rokuga
録音, запись звука, Rokuon
編集, редактирование, Henshu
加工, обработка, Kakou
変換, конвертирование, Henkan
形式, формат, Keishiki
解像度, разрешение, Kaizoudou
ビットレート, битрейт, Bitto reeto
デコード, декодирование, Dekoodo
エンコード, кодирование, Enkoodo
ファーマット, формат, Fāmatto
バッチ処理, пакетная обработка, Bacchi shori
マクロ, макрос, Makuro
スクリプト, скрипт, Sukuriputo
オートメーション, автоматизация, Ootomeeshon
自動化, автоматизация, Jidouka
人工知能, искусственный интеллект, Jinkou chinou
機械学習, машинное обучение, Kikai gakushuu
ディープラーニング, глубокое обучение, Diipu raaningu
アルゴリズム, алгоритм, Arugorizumu
ビッグデータ, большие данные, Biggu deeta
クラウドコンピューティング, облачные вычисления, Kuraudo konpyu-tingu
仮想化, виртуализация, Kasouka
コンテナ, контейнер, Kontena
インフラストラクチャ, инфраструктура, Infurasutorakucha
システム管理, системное администрирование, Shisutemu kanri
データセンター, дата-центр, Deeta sentaa
ネットワーク管理, управление сетью, Nettowaaku kanri
セキュリティ管理, управление безопасностью, Sekyuriti kanri
トラブルシューティング, устранение неисправностей, Toraburu shu-tingu
バックアップ, резервное копирование, Bakkappu
モニタリング, мониторинг, Monitaringu
ログ解析, анализ логов, Rogu kaiseki
脅威, угроза, Kyoui
攻撃, атака, Kougeki
防御, защита, Bougyo
侵入, вторжение, Shinnyuu
ウイルス, вирус, Uirusu
マルウェア, вредоносное ПО, Maruwea
スパム, спам, Supamu
ファイアウォール, фаервол, Faiāwōru
セキュリティパッチ, патч безопасности, Sekyuriti pacchi
アクセス制御, контроль доступа, Akusesu seigyo
認証システム, система аутентификации, Ninshou shisutemu
暗号化技術, технологии шифрования, Angouka gijutsu
セキュリティプロトコル, протокол безопасности, Sekyuriti purotokoru
データ復号, расшифровка данных, Dēta fukugou
スキャン, сканировать, Sukyan
アップデート, обновление, Appudeeto
ユーザー, пользователь, Yuuzaa
マルチタスク, многозадачность, Maruchitasuku
サポート, поддержка, Sapōto
クライアントサイド, клиентская сторона, Kuraiento saido
サーバーサイド, серверная сторона, Saabā saido
モジュール, модуль, Mojūru
パターン, паттерн, Patān
フロー, поток, Furō
インタラクション, взаимодействие, Intarakushon
オブジェクト, объект, Obujekuto
クラス, класс, Kurasu
メソッド, метод, Mesoddo
プロパティ, свойство, Puroperti
イベント, событие, Ibento
コンポーネント, компонент, Konpōnento
ライフサイクル, жизненный цикл, Raifusaikuru
ステート, состояние, Suteeto
コンテキスト, контекст, Kontekusuto
ハンドラー, обработчик, Handoraa
デバッグツール, инструменты отладки, Debaggu tsuuru
データ構造, структура данных, Deeta kōzō
アルゴリズム, алгоритм, Arugorizumu
複雑, сложный, Fukuzatsu
単純, простой, Tanjun
